bolometer 7kOm sample 1,bolometer 7kOm sample 1,
4509.2971858978,0.0117759649,
4505.4397888184,0.0118296985,
4501.5823917389,0.0118851066,
4497.7249946594,0.0119662071,
4493.86759758,0.0120336581,
4490.0102005005,0.0120790284,
4486.152803421,0.0120728929,
4482.2954063416,0.0120134316,
4478.4380092621,0.0121130198,
4474.5806121826,0.0124555714,
4470.7232151031,0.0127418386,
4466.8658180237,0.0127955265,
4463.0084209442,0.0127581321,
4459.1510238647,0.012690641,
4455.2936267853,0.0125738326,
4451.4362297058,0.0124987382,
4447.5788326263,0.0125127584,
4443.7214355469,0.0125837866,
4439.8640384674,0.0126965288,
4436.0066413879,0.0127946828,
4432.1492443085,0.0128235314,
4428.291847229,0.0128375441,
4424.4344501495,0.0129023045,
4420.5770530701,0.0129853049,
4416.7196559906,0.0130508989,
4412.8622589111,0.0131021868,
4409.0048618317,0.0131288171,
4405.1474647522,0.0131421499,
4401.2900676727,0.0131433178,
4397.4326705933,0.0131368563,
4393.5752735138,0.0131994644,
4389.7178764343,0.013322331,
4385.8604793549,0.0134018715,
4382.0030822754,0.0134403724,
4378.1456851959,0.0134898387,
4374.2882881165,0.013549963,
4370.430891037,0.0136146229,
4366.5734939575,0.0136836469,
4362.7160968781,0.0137559492,
4358.8586997986,0.0138458814,
4355.0013027191,0.0139602469,
4351.1439056396,0.0140444851,
4347.2865085602,0.0140568167,
4343.4291114807,0.0140646826,
4339.5717144012,0.0141289281,
4335.7143173218,0.0142119164,
4331.8569202423,0.0142832436,
4327.9995231628,0.0143522834,
4324.1421260834,0.0143891657,
4320.2847290039,0.0143981967,
4316.4273319244,0.0144513287,
4312.569934845,0.0145450803,
4308.7125377655,0.0146304835,
4304.855140686,0.0147081111,
4300.9977436066,0.0147814862,
4297.1403465271,0.0148409419,
4293.2829494476,0.0148941427,
4289.4255523682,0.0149576766,
4285.5681552887,0.0150247021,
4281.7107582092,0.0150667969,
4277.8533611298,0.0150794797,
4273.9959640503,0.0151064703,
4270.1385669708,0.0151641984,
4266.2811698914,0.0152161624,
4262.4237728119,0.0152797736,
4258.5663757324,0.0154081127,
4254.708978653,0.0155725349,
4250.8515815735,0.015683528,
4246.994184494,0.0157102272,
4243.1367874146,0.0157110207,
4239.2793903351,0.0157441422,
4235.4219932556,0.0157853775,
4231.5645961761,0.0157997124,
4227.7071990967,0.0158424489,
