bolometer 5kOm sample 2.0,bolometer 5kOm sample 2.0,
5712.8050746918,0.00249666,
5708.9476776123,0.0025206541,
5705.0902805328,0.0025515566,
5701.2328834534,0.0025682477,
5697.3754863739,0.0025684037,
5693.5180892944,0.0025469447,
5689.660692215,0.0025182699,
5685.8032951355,0.0025205447,
5681.945898056,0.0025584591,
5678.0885009766,0.0026007472,
5674.2311038971,0.0026302626,
5670.3737068176,0.0026479331,
5666.5163097382,0.002648511,
5662.6589126587,0.0026255455,
5658.8015155792,0.0025953744,
5654.9441184998,0.0025879769,
5651.0867214203,0.0026134735,
5647.2293243408,0.0026517739,
5643.3719272614,0.0026808844,
5639.5145301819,0.0026983451,
5635.6571331024,0.0026992199,
5631.7997360229,0.0026887385,
5627.9423389435,0.0026925516,
5624.084941864,0.0027094232,
5620.2275447845,0.0027208026,
5616.3701477051,0.0027242592,
5612.5127506256,0.0027283924,
5608.6553535461,0.002742826,
5604.7979564667,0.0027626618,
5600.9405593872,0.0027834889,
5597.0831623077,0.0028055033,
5593.2257652283,0.0028112466,
5589.3683681488,0.0028028334,
5585.5109710693,0.0028056623,
5581.6535739899,0.002815662,
5577.7961769104,0.0028242359,
5573.9387798309,0.0028392668,
5570.0813827515,0.0028578644,
5566.223985672,0.00286947,
5562.3665885925,0.0028723893,
5558.5091915131,0.0028803973,
5554.6517944336,0.0029002395,
5550.7943973541,0.002925355,
5546.9370002747,0.0029444369,
5543.0796031952,0.0029443339,
5539.2222061157,0.0029400457,
5535.3648090363,0.002952507,
5531.5074119568,0.0029698592,
5527.6500148773,0.0029813568,
5523.7926177979,0.0029945481,
5519.9352207184,0.0030034448,
5516.0778236389,0.0029998897,
5512.2204265594,0.0029912577,
5508.36302948,0.0029893299,
5504.5056324005,0.003009134,
5500.648235321,0.0030458714,
5496.7908382416,0.0030778514,
5492.9334411621,0.0030787322,
5489.0760440826,0.0030728541,
5485.2186470032,0.0030985675,
5481.3612499237,0.0031040511,
5477.5038528442,0.0031488934,
5473.6464557648,0.0032391865,
5469.7890586853,0.0030564845,
5465.9316616058,0.0026222176,
5462.0742645264,0.0024209893,
5458.2168674469,0.0025097125,
5454.3594703674,0.0025962477,
5450.502073288,0.0027427096,
5446.6446762085,0.0030311306,
5442.787279129,0.0032207808,
5438.9298820496,0.003241539,
5435.0724849701,0.0032343715,
5431.2150878906,0.00325309,
5427.3576908112,0.0032930453,
5423.5002937317,0.0033219256,
5419.6428966522,0.0033319974,
5415.7854995728,0.0033471538,
5411.9281024933,0.0033654394,
5408.0707054138,0.0033653905,
5404.2133083344,0.0033495419,
5400.3559112549,0.0033602118,
5396.4985141754,0.0033935998,
5392.6411170959,0.0034075056,
5388.7837200165,0.0033995272,
5384.926322937,0.00339277,
5381.0689258575,0.0034122365,
5377.2115287781,0.0034555418,
5373.3541316986,0.0034828268,
5369.4967346191,0.0034751962,
5365.6393375397,0.0034577493,
5361.7819404602,0.0034552854,
5357.9245433807,0.0034766197,
5354.0671463013,0.0035172906,
5350.2097492218,0.0035559332,
5346.3523521423,0.0035725231,
5342.4949550629,0.0035777148,
5338.6375579834,0.0035950709,
5334.7801609039,0.0036029136,
5330.9227638245,0.0035798091,
5327.065366745,0.0035721357,
5323.2079696655,0.0036054994,
5319.3505725861,0.0036254658,
5315.4931755066,0.0036051134,
5311.6357784271,0.0035969745,
5307.7783813477,0.003645102,
5303.9209842682,0.0037238246,
5300.0635871887,0.0037782537,
5296.2061901093,0.0037964387,
5292.3487930298,0.0037976755,
5288.4913959503,0.0037951693,
5284.6339988708,0.0037985174,
5280.7766017914,0.0038057137,
5276.9192047119,0.0038148947,
5273.0618076324,0.0038242494,
5269.204410553,0.0038276063,
5265.3470134735,0.0038329731,
5261.489616394,0.0038506116,
5257.6322193146,0.0038787571,
5253.7748222351,0.0039071585,
5249.9174251556,0.0039310316,
5246.0600280762,0.0039502438,
5242.2026309967,0.0039633643,
5238.3452339172,0.0039788159,
5234.4878368378,0.0039988281,
5230.6304397583,0.0040093083,
5226.7730426788,0.0040047457,
5222.9156455994,0.0039948993,
5219.0582485199,0.0040013189,
5215.2008514404,0.0040411116,
5211.343454361,0.0040818667,
5207.4860572815,0.0040871259,
5203.628660202,0.004083788,
5199.7712631226,0.0040888493,
5195.9138660431,0.0040876335,
5192.0564689636,0.0041049663,
5188.1990718842,0.0041640829,
5184.3416748047,0.0042221248,
5180.4842777252,0.0042361952,
5176.6268806458,0.0042367242,
5172.7694835663,0.0042709438,
5168.9120864868,0.0043184236,
5165.0546894073,0.0043268697,
5161.1972923279,0.0043086745,
5157.3398952484,0.0043125367,
5153.4824981689,0.0043351362,
5149.6251010895,0.0043529249,
5145.76770401,0.004369677,
5141.9103069305,0.0043859659,
5138.0529098511,0.0043892544,
5134.1955127716,0.0043919981,
5130.3381156921,0.0044157519,
5126.4807186127,0.0044505489,
5122.6233215332,0.0044883825,
5118.7659244537,0.0045237653,
5114.9085273743,0.0045307986,
5111.0511302948,0.0045157475,
5107.1937332153,0.0045168763,
5103.3363361359,0.0045356629,
5099.4789390564,0.0045532165,
5095.6215419769,0.0045764339,
5091.7641448975,0.0046060765,
5087.906747818,0.0046323095,
5084.0493507385,0.0046552429,
5080.1919536591,0.0046680253,
5076.3345565796,0.0046760519,
5072.4771595001,0.0046977862,
5068.6197624207,0.0047312211,
5064.7623653412,0.0047571547,
5060.9049682617,0.0047649946,
5057.0475711823,0.0047731954,
5053.1901741028,0.004791596,
5049.3327770233,0.004799834,
5045.4753799438,0.0047982857,
5041.6179828644,0.0048086299,
5037.7605857849,0.0048419139,
5033.9031887054,0.0048961048,
5030.045791626,0.004950271,
5026.1883945465,0.0049790014,
5022.330997467,0.0049734516,
5018.4736003876,0.004955655,
5014.6162033081,0.0049772598,
5010.7588062286,0.0050403895,
5006.9014091492,0.0050771981,
5003.0440120697,0.0050680186,
4999.1866149902,0.0050710887,
4995.3292179108,0.0051103923,
4991.4718208313,0.0051372764,
4987.6144237518,0.0051266346,
4983.7570266724,0.0051105907,
4979.8996295929,0.0051118508,
4976.0422325134,0.005145065,
4972.184835434,0.0052205659,
4968.3274383545,0.0052854544,
4964.470041275,0.0052892794,
4960.6126441956,0.0052747251,
4956.7552471161,0.005280152,
4952.8978500366,0.0052994192,
4949.0404529572,0.0053435536,
4945.1830558777,0.0053960439,
4941.3256587982,0.0054110046,
4937.4682617188,0.0053927107,
4933.6108646393,0.0053932471,
4929.7534675598,0.0054219114,
4925.8960704803,0.0054387217,
4922.0386734009,0.0054578376,
4918.1812763214,0.0055114473,
4914.3238792419,0.0055604447,
4910.4664821625,0.0055628335,
4906.609085083,0.0055505494,
4902.7516880035,0.0055759675,
4898.8942909241,0.0056350152,
4895.0368938446,0.0056906519,
4891.1794967651,0.0057229185,
4887.3220996857,0.0057362355,
4883.4647026062,0.0057388004,
4879.6073055267,0.0057381149,
4875.7499084473,0.0057531116,
4871.8925113678,0.0057802722,
4868.0351142883,0.0058012186,
4864.1777172089,0.0058294237,
4860.3203201294,0.0058733262,
4856.4629230499,0.0059039788,
4852.6055259705,0.0059081875,
4848.748128891,0.0059122457,
4844.8907318115,0.0059359786,
4841.0333347321,0.0059822355,
4837.1759376526,0.0060385088,
4833.3185405731,0.0060679466,
4829.4611434937,0.0060659712,
4825.6037464142,0.0060681938,
4821.7463493347,0.0060779518,
4817.8889522552,0.0060961908,
4814.0315551758,0.006144648,
4810.1741580963,0.0062001231,
4806.3167610168,0.0062424149,
4802.4593639374,0.0062896516,
4798.6019668579,0.0063287504,
4794.7445697784,0.0063440222,
4790.887172699,0.0063482467,
4787.0297756195,0.0063505238,
4783.17237854,0.0063773096,
4779.3149814606,0.0064513898,
4775.4575843811,0.0065271286,
4771.6001873016,0.0065504792,
4767.7427902222,0.0065523116,
4763.8853931427,0.006585761,
4760.0279960632,0.0066339136,
4756.1705989838,0.0066567818,
4752.3132019043,0.0066605927,
4748.4558048248,0.0066695772,
4744.5984077454,0.0066897934,
4740.7410106659,0.0067171091,
4736.8836135864,0.0067336746,
4733.026216507,0.0067263013,
4729.1688194275,0.0067225862,
