# cwd not inside a repo
# Loss.Nf                = 60
# Loss.fmin              = 45000000000.0
# Loss.fmax              = 155000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.003, 0.003)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 10
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (40, 40)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
170,5779.13,5779.12,0.01,  0,2.9,accept
178,5545.76,5546.04,-0.28,  0,0.0,reject
171,5779.12,5794.24,-15.12,  0,0.0,reject
179,5545.76,5547.15,-1.39,  0,0.0,reject
172,5779.12,5794.24,-15.12,  0,0.0,reject
180,5545.76,5741.05,-195.29,  0,0.0,reject
173,5779.12,6011.86,-232.74,  0,0.0,reject
181,5545.76,5969.23,-423.47,  0,0.0,reject
174,5779.12,6011.86,-232.74,  0,0.0,reject
182,5545.76,5542.59,3.17,  0,inf,accept
175,5779.12,5779.19,-0.07,  0,0.0,reject
183,5542.59,5615.5,-72.91,  0,0.0,reject
176,5779.12,6205.85,-426.73,  0,0.0,reject
184,5542.59,5788.24,-245.65,  0,0.0,reject
177,5779.12,5779.15,-0.03,  0,0.0,reject
185,5542.59,5544.06,-1.47,  0,0.0,reject
178,5779.12,5791.32,-12.2,  0,0.0,reject
186,5542.59,5664.51,-121.92,  0,0.0,reject
179,5779.12,5788.92,-9.8,  0,0.0,reject
187,5542.59,5548.77,-6.18,  0,0.0,reject
180,5779.12,5891.69,-112.57,  0,0.0,reject
188,5542.59,5635.15,-92.56,  0,0.0,reject
181,5779.12,5779.24,-0.12,  0,0.0,reject
189,5542.59,5712.2,-169.61,  0,0.0,reject
182,5779.12,5779.15,-0.03,  0,0.0,reject
190,5542.59,5547.25,-4.66,  0,0.0,reject
183,5779.12,6014.19,-235.07,  0,0.0,reject
191,5542.59,6122.33,-579.74,  0,0.0,reject
184,5779.12,5997.76,-218.64,  0,0.0,reject
192,5542.59,5548.22,-5.63,  0,0.0,reject
185,5779.12,5779.06,0.06,  0,1319076863870846720.0,accept
193,5542.59,5598.52,-55.93,  0,0.0,reject
186,5779.06,5821.47,-42.41,  0,0.0,reject
194,5542.59,5607.59,-65.0,  0,0.0,reject
187,5779.06,6115.03,-335.97,  0,0.0,reject
195,5542.59,5883.04,-340.45,  0,0.0,reject
