reference.0,reference.0,
5593.2257652283,0.0185775273,
5589.3683681488,0.0186407603,
5585.5109710693,0.0187176019,
5581.6535739899,0.0187783018,
5577.7961769104,0.0188474562,
5573.9387798309,0.0189056136,
5570.0813827515,0.018973982,
5566.223985672,0.0190380178,
5562.3665885925,0.0191046447,
5558.5091915131,0.0191746764,
5554.6517944336,0.01924254,
5550.7943973541,0.0193108693,
5546.9370002747,0.019379437,
5543.0796031952,0.0194423497,
5539.2222061157,0.0195116028,
5535.3648090363,0.0195741579,
5531.5074119568,0.0196447149,
5527.6500148773,0.0197193325,
5523.7926177979,0.019783929,
5519.9352207184,0.0198531542,
5516.0778236389,0.0199208315,
5512.2204265594,0.0199887045,
5508.36302948,0.020062428,
5504.5056324005,0.0201337896,
5500.648235321,0.0201989152,
5496.7908382416,0.0202710535,
5492.9334411621,0.0203364696,
5489.0760440826,0.020416338,
5485.2186470032,0.0204837006,
5481.3612499237,0.0205532089,
5477.5038528442,0.0206285194,
5473.6464557648,0.0206986684,
5469.7890586853,0.020770438,
5465.9316616058,0.0208422579,
5462.0742645264,0.0209166072,
5458.2168674469,0.020985283,
5454.3594703674,0.0210600793,
5450.502073288,0.0211347789,
5446.6446762085,0.021208901,
5442.787279129,0.0212813355,
5438.9298820496,0.0213579219,
5435.0724849701,0.0214253627,
5431.2150878906,0.0214975402,
5427.3576908112,0.0215735324,
5423.5002937317,0.02165474,
5419.6428966522,0.0217263252,
5415.7854995728,0.0218046494,
5411.9281024933,0.0218808278,
5408.0707054138,0.0219583809,
5404.2133083344,0.022028219,
5400.3559112549,0.0221103225,
5396.4985141754,0.0221816823,
5392.6411170959,0.0222544819,
5388.7837200165,0.0223308653,
5384.926322937,0.0224128906,
5381.0689258575,0.0224873405,
5377.2115287781,0.0225722119,
5373.3541316986,0.0226487033,
5369.4967346191,0.0227285773,
5365.6393375397,0.0228063576,
5361.7819404602,0.0228883736,
5357.9245433807,0.0229639299,
5354.0671463013,0.0230442248,
5350.2097492218,0.0231290534,
5346.3523521423,0.0232102592,
5342.4949550629,0.0232919902,
5338.6375579834,0.0233664308,
5334.7801609039,0.0234503783,
5330.9227638245,0.0235307887,
5327.065366745,0.0236079022,
5323.2079696655,0.0236934368,
5319.3505725861,0.0237776451,
5315.4931755066,0.0238566753,
5311.6357784271,0.0239412878,
5307.7783813477,0.0240182728,
5303.9209842682,0.0241067335,
5300.0635871887,0.0241910201,
5296.2061901093,0.0242768917,
5292.3487930298,0.0243650265,
5288.4913959503,0.0244455431,
5284.6339988708,0.0245247446,
5280.7766017914,0.0246139951,
5276.9192047119,0.0247020014,
5273.0618076324,0.0247884281,
5269.204410553,0.024874106,
5265.3470134735,0.024958916,
5261.489616394,0.0250473432,
5257.6322193146,0.0251346007,
