# 32e75a017076fcf47c756d329b7a68bc433d61be
# Loss.Nf                = 60
# Loss.fmin              = 20000000000.0
# Loss.fmax              = 190000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.002, 0.002)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 5
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (20, 20)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
348,2287.89,11067.98,-8780.09,  0,0.0,reject
349,2287.89,11043.95,-8756.06,  0,0.0,reject
350,2287.89,2444.26,-156.37,  0,0.0,reject
351,2287.89,3392.0,-1104.11,  0,0.0,reject
352,2287.89,2392.64,-104.75,  0,0.0,reject
353,2287.89,11067.97,-8780.08,  0,0.0,reject
354,2287.89,2409.29,-121.4,  0,0.0,reject
355,2287.89,2287.42,0.47,  0,inf,accept
356,2287.42,3122.93,-835.51,  0,0.0,reject
357,2287.42,11067.98,-8780.56,  0,0.0,reject
358,2287.42,11067.98,-8780.56,  0,0.0,reject
359,2287.42,2631.13,-343.71,  0,0.0,reject
360,2287.42,11067.98,-8780.56,  0,0.0,reject
361,2287.42,2457.11,-169.69,  0,0.0,reject
362,2287.42,2200.74,86.68,  0,inf,accept
363,2200.74,3572.79,-1372.05,  0,0.0,reject
364,2200.74,2237.96,-37.22,  0,0.0,reject
365,2200.74,2206.98,-6.24,  0,0.0,reject
366,2200.74,2307.13,-106.39,  0,0.0,reject
367,2200.74,2501.57,-300.83,  0,0.0,reject
368,2200.74,11043.95,-8843.21,  0,0.0,reject
369,2200.74,3335.39,-1134.65,  0,0.0,reject
370,2200.74,3322.65,-1121.91,  0,0.0,reject
371,2200.74,4746.74,-2546.0,  0,0.0,reject
372,2200.74,3437.75,-1237.01,  0,0.0,reject
373,2200.74,11056.82,-8856.08,  0,0.0,reject
374,2200.74,11043.95,-8843.21,  0,0.0,reject
375,2200.74,11067.96,-8867.22,  0,0.0,reject
376,2200.74,4877.74,-2677.0,  0,0.0,reject
377,2200.74,11043.95,-8843.21,  0,0.0,reject
378,2200.74,2454.77,-254.03,  0,0.0,reject
379,2200.74,3281.81,-1081.07,  0,0.0,reject
380,2200.74,2196.33,4.41,  0,inf,accept
381,2196.33,3595.38,-1399.05,  0,0.0,reject
382,2196.33,2291.72,-95.39,  0,0.0,reject
383,2196.33,3598.46,-1402.13,  0,0.0,reject
384,2196.33,2489.73,-293.4,  0,0.0,reject
385,2196.33,2188.75,7.58,  0,inf,accept
386,2188.75,11067.98,-8879.23,  0,0.0,reject
387,2188.75,3577.89,-1389.14,  0,0.0,reject
388,2188.75,2946.7,-757.95,  0,0.0,reject
389,2188.75,2184.68,4.07,  0,inf,accept
390,2184.68,4534.75,-2350.07,  0,0.0,reject
391,2184.68,2414.69,-230.01,  0,0.0,reject
392,2184.68,3589.43,-1404.75,  0,0.0,reject
393,2184.68,2318.73,-134.05,  0,0.0,reject
394,2184.68,2309.75,-125.07,  0,0.0,reject
395,2184.68,2932.05,-747.37,  0,0.0,reject
396,2184.68,11067.98,-8883.3,  0,0.0,reject
397,2184.68,11043.95,-8859.27,  0,0.0,reject
398,2184.68,11043.95,-8859.27,  0,0.0,reject
399,2184.68,2184.42,0.26,  0,inf,accept
400,2184.42,2531.45,-347.03,  0,0.0,reject
401,2184.42,2307.33,-122.91,  0,0.0,reject
402,2184.42,3574.56,-1390.14,  0,0.0,reject
403,2184.42,2280.5,-96.08,  0,0.0,reject
404,2184.42,3617.66,-1433.24,  0,0.0,reject
405,2184.42,2328.48,-144.06,  0,0.0,reject
406,2184.42,2277.86,-93.44,  0,0.0,reject
407,2184.42,3142.56,-958.14,  0,0.0,reject
408,2184.42,3772.58,-1588.16,  0,0.0,reject
409,2184.42,11043.95,-8859.53,  0,0.0,reject
410,2184.42,2184.49,-0.07,  0,0.0,reject
411,2184.42,4474.2,-2289.78,  0,0.0,reject
412,2184.42,2341.06,-156.64,  0,0.0,reject
413,2184.42,11067.95,-8883.53,  0,0.0,reject
414,2184.42,2802.54,-618.12,  0,0.0,reject
415,2184.42,3502.13,-1317.71,  0,0.0,reject
416,2184.42,11067.95,-8883.53,  0,0.0,reject
417,2184.42,3423.38,-1238.96,  0,0.0,reject
418,2184.42,2965.01,-780.59,  0,0.0,reject
419,2184.42,2207.76,-23.34,  0,0.0,reject
420,2184.42,3074.81,-890.39,  0,0.0,reject
421,2184.42,2405.25,-220.83,  0,0.0,reject
422,2184.42,2292.59,-108.17,  0,0.0,reject
423,2184.42,3590.7,-1406.28,  0,0.0,reject
424,2184.42,11043.95,-8859.53,  0,0.0,reject
425,2184.42,11067.98,-8883.56,  0,0.0,reject
426,2184.42,4933.85,-2749.43,  0,0.0,reject
427,2184.42,2191.03,-6.61,  0,0.0,reject
428,2184.42,2232.97,-48.55,  0,0.0,reject
429,2184.42,3534.23,-1349.81,  0,0.0,reject
430,2184.42,2195.55,-11.13,  0,0.0,reject
431,2184.42,2184.34,0.08,  0,inf,accept
432,2184.34,2505.11,-320.77,  0,0.0,reject
433,2184.34,3604.04,-1419.7,  0,0.0,reject
434,2184.34,2184.94,-0.6,  0,0.0,reject
435,2184.34,11067.98,-8883.64,  0,0.0,reject
436,2184.34,2449.43,-265.09,  0,0.0,reject
437,2184.34,11067.96,-8883.62,  0,0.0,reject
438,2184.34,2455.08,-270.74,  0,0.0,reject
439,2184.34,2216.32,-31.98,  0,0.0,reject
440,2184.34,11043.95,-8859.61,  0,0.0,reject
441,2184.34,2182.48,1.86,  0,inf,accept
442,2182.48,3432.79,-1250.31,  0,0.0,reject
443,2182.48,2187.03,-4.55,  0,0.0,reject
444,2182.48,3499.48,-1317.0,  0,0.0,reject
445,2182.48,3144.79,-962.31,  0,0.0,reject
446,2182.48,3678.37,-1495.89,  0,0.0,reject
447,2182.48,2429.93,-247.45,  0,0.0,reject
448,2182.48,2245.14,-62.66,  0,0.0,reject
449,2182.48,2412.2,-229.72,  0,0.0,reject
450,2182.48,3452.74,-1270.26,  0,0.0,reject
451,2182.48,2314.08,-131.6,  0,0.0,reject
452,2182.48,11067.95,-8885.47,  0,0.0,reject
453,2182.48,11043.95,-8861.47,  0,0.0,reject
454,2182.48,3393.07,-1210.59,  0,0.0,reject
455,2182.48,3175.26,-992.78,  0,0.0,reject
456,2182.48,11067.96,-8885.48,  0,0.0,reject
457,2182.48,2184.14,-1.66,  0,0.0,reject
458,2182.48,3340.59,-1158.11,  0,0.0,reject
459,2182.48,2289.85,-107.37,  0,0.0,reject
460,2182.48,2254.79,-72.31,  0,0.0,reject
461,2182.48,3476.38,-1293.9,  0,0.0,reject
462,2182.48,2189.52,-7.04,  0,0.0,reject
463,2182.48,2353.45,-170.97,  0,0.0,reject
464,2182.48,2320.86,-138.38,  0,0.0,reject
465,2182.48,3944.57,-1762.09,  0,0.0,reject
466,2182.48,2186.33,-3.85,  0,0.0,reject
